COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
125,4178.46,4177.44,4187.69,4183.59,4183.08,4184.1,4186.67,4180.51,4187.18,4187.69,4244.1,4947.18,4175.9,4186.67,2046,2038,88.9,0,0,0,0,
126,4191.28,4186.67,4183.59,4180.51,4175.9,4176.41,4177.44,4183.59,4191.28,4189.74,4241.54,4945.64,4193.33,4194.36,2046,2038,88.907,0,0,0,0,
127,4171.79,4179.49,4181.03,4184.62,4184.62,4183.08,4185.13,4184.1,4182.05,4188.72,4235.38,4943.08,4175.9,4186.15,2045,2037,88.915,0,0,0,0,
128,4188.72,4186.67,4187.18,4186.67,4183.08,4179.49,4176.41,4178.97,4183.59,4188.72,4245.64,4950.26,4185.13,4197.44,2045,2037,88.923,0,0,0,0,
0,4185.64,4179.49,4182.05,4178.97,4180.51,4176.92,4178.97,4181.54,4192.31,4189.23,4243.59,4943.08,4187.18,4190.26,2044,2037,88.931,0,0,0,0,
1,4175.9,4175.38,4185.13,4185.13,4184.62,4185.13,4188.21,4181.03,4184.1,4189.23,4240.51,4946.67,4176.41,4182.56,2044,2038,88.938,0,0,0,0,
2,4191.79,4189.23,4184.62,4184.62,4181.54,4181.03,4174.87,4183.08,4187.69,4195.38,4244.1,4951.28,4193.33,4195.9,2044,2039,88.946,0,0,0,0,
3,4174.87,4179.49,4181.03,4183.08,4184.62,4181.54,4182.05,4182.56,4189.23,4192.31,4238.46,4945.13,4179.49,4186.67,2044,2038,88.954,0,0,0,0,
4,4189.23,4184.62,4186.15,4185.64,4177.95,4177.44,4180.51,4180,4187.69,4187.18,4242.05,4947.69,4184.1,4192.82,2044,2038,88.963,0,0,0,0,
5,4186.15,4184.62,4182.56,4182.56,4175.38,4178.46,4180.51,4185.13,4189.74,4188.72,4240.51,4945.13,4185.13,4192.31,2045,2038,88.97,0,0,0,0,
6,4173.85,4181.54,4184.62,4188.21,4183.59,4186.15,4184.1,4184.62,4184.62,4191.28,4240,4948.72,4176.92,4186.67,2044,2037,88.978,0,0,0,0,
7,4193.33,4190.77,4186.15,4185.13,4181.03,4180,4173.33,4185.13,4189.23,4194.87,4243.08,4948.21,4196.41,4195.9,2043,2038,88.986,0,0,0,0,
8,4173.85,4178.46,4182.05,4180.51,4186.15,4183.08,4184.1,4186.67,4187.69,4191.79,4235.9,4943.08,4178.46,4184.62,2044,2037,88.994,0,0,0,0,
9,4185.64,4185.64,4186.15,4184.1,4182.56,4181.54,4180.51,4182.56,4186.15,4188.21,4241.54,4950.77,4181.54,4189.74,2044,2038,89.002,0,0,0,0,
10,4190.26,4187.69,4184.62,4181.54,4179.49,4178.46,4178.97,4185.13,4191.79,4191.79,4242.56,4944.62,4188.72,4191.79,2044,2038,89.009,0,0,0,0,
